t	NADH_m	ADP_m	deltaPsi	Ca_m	Ca_c	FBP
0.314	0.999832	1.0001	0.315947	0.968769	0.0001	5
0.315	0.999831	1.0001	0.313886	0.968671	0.0001	5
0.316	0.999831	1.0001	0.311825	0.968574	0.0001	5
0.317	0.99983	1.0001	0.309766	0.968477	0.0001	5
0.318	0.99983	1.0001	0.307707	0.968379	0.0001	5
0.319	0.999829	1.0001	0.305648	0.968282	0.0001	5
0.32	0.999829	1.0001	0.303591	0.968185	0.0001	5
0.321	0.999828	1.0001	0.301534	0.968088	0.0001	5
0.322	0.999828	1.0001	0.299478	0.96799	0.0001	5
0.323	0.999827	1.0001	0.297423	0.967893	0.0001	5
0.324	0.999827	1.0001	0.295368	0.967796	0.0001	5
0.325	0.999826	1.0001	0.293314	0.967699	0.0001	5
0.326	0.999825	1.0001	0.291261	0.967601	0.0001	5
0.327	0.999825	1.0001	0.289209	0.967504	0.0001	5
0.328	0.999824	1.0001	0.287157	0.967407	0.0001	5
0.329	0.999824	1.0001	0.285106	0.96731	0.0001	5
0.33	0.999823	1.0001	0.283056	0.967213	0.0001	5
0.331	0.999823	1.0001	0.281006	0.967115	0.0001	5
0.332	0.999822	1.0001	0.278958	0.967018	0.0001	5
0.333	0.999822	1.0001	0.27691	0.966921	0.0001	5
0.334	0.999821	1.0001	0.274862	0.966824	0.0001	5
0.335	0.999821	1.0001	0.272816	0.966727	0.0001	5
0.336	0.99982	1.0001	0.27077	0.96663	0.0001	5
0.337	0.99982	1.0001	0.268725	0.966533	0.0001	5
0.338	0.999819	1.0001	0.26668	0.966436	0.0001	5
0.339	0.999818	1.00011	0.264636	0.966339	0.0001	5
0.34	0.999818	1.00011	0.262593	0.966242	0.0001	5
0.341	0.999817	1.00011	0.260551	0.966145	0.0001	5
0.342	0.999817	1.00011	0.258509	0.966048	0.0001	5
0.343	0.999816	1.00011	0.256469	0.965951	0.0001	5
0.344	0.999816	1.00011	0.254428	0.965854	0.0001	5
0.345	0.999815	1.00011	0.252389	0.965757	0.0001	5
0.346	0.999815	1.00011	0.25035	0.96566	0.0001	5
0.347	0.999814	1.00011	0.248312	0.965563	0.0001	5
0.348	0.999814	1.00011	0.246275	0.965466	0.0001	5
0.349	0.999813	1.00011	0.244239	0.965369	0.0001	5
0.35	0.999813	1.00011	0.242203	0.965272	0.0001	5
0.351	0.999812	1.00011	0.240168	0.965175	0.0001	5
0.352	0.999812	1.00011	0.238133	0.965078	0.0001	5
0.353	0.999811	1.00011	0.2361	0.964981	0.0001	5
0.354	0.99981	1.00011	0.234067	0.964884	0.0001	5
0.355	0.99981	1.00011	0.232035	0.964788	0.0001	5
0.356	0.999809	1.00011	0.230003	0.964691	0.0001	5
0.357	0.999809	1.00011	0.227972	0.964594	0.0001	5
0.358	0.999808	1.00011	0.225942	0.964497	0.0001	5
0.359	0.999808	1.00011	0.223913	0.9644	0.0001	5
